# Number of cells = 1600
# CFL = 8.000000e-01
# a = 1.000000e+00
# L1 error = 2.629423e-03
# Root mean square error = 5.228718e-03
# Wall time = 4.149100e-02 seconds

VARIABLES = "x" "Numerical_solution" "Exact_solution" "Error"
ZONE I=1600, F=POINT
1.206250e-01 7.775964e-03 6.555802e-03 1.220162e-03
1.212500e-01 8.042052e-03 6.789136e-03 1.252917e-03
1.218750e-01 8.316270e-03 7.029916e-03 1.286354e-03
1.225000e-01 8.598829e-03 7.278347e-03 1.320482e-03
1.231250e-01 8.889944e-03 7.534637e-03 1.355307e-03
1.237500e-01 9.189836e-03 7.799000e-03 1.390836e-03
1.243750e-01 9.498729e-03 8.071653e-03 1.427076e-03
1.250000e-01 9.816853e-03 8.352819e-03 1.464034e-03
1.256250e-01 1.014444e-02 8.642723e-03 1.501717e-03
1.262500e-01 1.048173e-02 8.941597e-03 1.540130e-03
1.268750e-01 1.082896e-02 9.249678e-03 1.579280e-03
1.275000e-01 1.118638e-02 9.567206e-03 1.619173e-03
1.281250e-01 1.155424e-02 9.894426e-03 1.659813e-03
1.287500e-01 1.193280e-02 1.023159e-02 1.701208e-03
1.293750e-01 1.232231e-02 1.057895e-02 1.743360e-03
1.300000e-01 1.272304e-02 1.093677e-02 1.786276e-03
1.306250e-01 1.313527e-02 1.130531e-02 1.829960e-03
1.312500e-01 1.355926e-02 1.168484e-02 1.874415e-03
1.318750e-01 1.399529e-02 1.207564e-02 1.919645e-03
1.325000e-01 1.444364e-02 1.247799e-02 1.965655e-03
1.331250e-01 1.490461e-02 1.289217e-02 2.012446e-03
1.337500e-01 1.537849e-02 1.331847e-02 2.060021e-03
1.343750e-01 1.586557e-02 1.375719e-02 2.108384e-03
1.350000e-01 1.636616e-02 1.420862e-02 2.157535e-03
1.356250e-01 1.688056e-02 1.467308e-02 2.207477e-03
1.362500e-01 1.740908e-02 1.515087e-02 2.258209e-03
1.368750e-01 1.795204e-02 1.564231e-02 2.309733e-03
1.375000e-01 1.850977e-02 1.614772e-02 2.362049e-03
1.381250e-01 1.908258e-02 1.666742e-02 2.415157e-03
1.387500e-01 1.967081e-02 1.720175e-02 2.469055e-03
1.393750e-01 2.027478e-02 1.775104e-02 2.523742e-03
1.400000e-01 2.089486e-02 1.831564e-02 2.579217e-03
1.406250e-01 2.153136e-02 1.889589e-02 2.635477e-03
1.412500e-01 2.218465e-02 1.949214e-02 2.692518e-03
1.418750e-01 2.285508e-02 2.010475e-02 2.750338e-03
1.425000e-01 2.354301e-02 2.073408e-02 2.808932e-03
1.431250e-01 2.424880e-02 2.138050e-02 2.868295e-03
1.437500e-01 2.497281e-02 2.204439e-02 2.928423e-03
1.443750e-01 2.571542e-02 2.272611e-02 2.989309e-03
1.450000e-01 2.647701e-02 2.342606e-02 3.050946e-03
1.456250e-01 2.725794e-02 2.414462e-02 3.113328e-03
1.462500e-01 2.805862e-02 2.488218e-02 3.176446e-03
1.468750e-01 2.887943e-02 2.563914e-02 3.240292e-03
1.475000e-01 2.972076e-02 2.641590e-02 3.304856e-03
1.481250e-01 3.058301e-02 2.721288e-02 3.370128e-03
1.487500e-01 3.146658e-02 2.803048e-02 3.436098e-03
1.493750e-01 3.237187e-02 2.886912e-02 3.502754e-03
1.500000e-01 3.329930e-02 2.972922e-02 3.570084e-03
1.506250e-01 3.424928e-02 3.061121e-02 3.638075e-03
1.512500e-01 3.522223e-02 3.151551e-02 3.706713e-03
1.518750e-01 3.621856e-02 3.244257e-02 3.775983e-03
1.525000e-01 3.723870e-02 3.339283e-02 3.845869e-03
